DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2012,42.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2013,40.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2014,42.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2015,41.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2016,40.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2017,40.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2018,38.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2019,35.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2020,36.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,AT,2021,35.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2012,32.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2013,34.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2014,31.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2015,35.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2016,25.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2017,22.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2018,22.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2019,33.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2020,35.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BE,2021,25.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2012,35.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2013,30.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2014,24.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2015,27.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2016,24.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2017,24.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2018,24.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2019,20.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2020,19.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,BG,2021,15.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2012,43.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2013,51.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2014,51.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2015,46.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2016,47.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2017,35.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2018,33.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2019,35.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2020,33.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CY,2021,29.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2012,14.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2013,12.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2014,13.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2015,14.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2016,14.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2017,14.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2018,15.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2019,14.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2020,15.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,CZ,2021,14.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2012,43.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2013,43.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2014,43.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2015,42.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2016,39.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2017,37.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2018,35.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2019,32.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2020,32.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DE,2021,31.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2012,8.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2013,15.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2014,18.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2015,13.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2016,6.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2017,4.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2018,3.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2019,6.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2020,4.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,DK,2021,7.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2012,2.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2013,3.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2014,2.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2015,3.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2016,0.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2017,1.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2018,0.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2019,0.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2020,0.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EE,2021,3.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2012,22.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2013,25.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2014,25.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2015,26.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2016,27.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2017,25.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2018,24.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2019,22.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2020,21.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,EL,2021,23.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2012,38.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2013,36.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2014,34.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2015,35.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2016,35.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2017,32.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2018,31.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2019,27.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2020,25.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,ES,2021,23.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2012,26.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2013,24.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2014,26.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2015,25.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2016,25.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2017,24.7,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2018,22.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2019,21.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2020,21.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FI,2021,22.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2012,35.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2013,35.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2014,35.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2015,33.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2016,32.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2017,31.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2018,28.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2019,29.4,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2020,29.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,FR,2021,27.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2012,23.2,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2013,22.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2014,17.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2015,21.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2016,19.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2017,20.0,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2018,22.5,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2019,18.9,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2020,23.3,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HR,2021,25.1,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2012,14.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2013,14.8,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2014,13.6,
ESTAT:ILC_PNP13(1.0),06/10/22 23:00:00,A,Y65-74,AVG,HU,2015,15.6,
